"","X","title","year","journal","authors","abstract","publication.type","genetics","genomic","evolution","dosage..test.","mechanism","issue","epigenetics","methods","Ancestry","unsure","Irrelevant","Notes"
"1",73,"Heterogeneous Escape from X Chromosome Inactivation Results in Sex Differences in Type I IFN Responses at the Single Human pDC Level",2020,"Cell Rep","Hagen, S. H. and Henseling, F. and Hennesen, J. and Savel, H. and Delahaye, S. and Richert, L. and Ziegler, S. M. and Altfeld, M.","Immune responses differ between women and men, and type I interferon (IFN) responses following Toll-like receptor 7 (TLR7) stimulation are higher in women. The precise mechanisms driving these sex differences in immunity are unknown. To investigate possible genetic factors, we quantify escape from X chromosome inactivation (XCI) for TLR7 and four other genes (RPS6KA3, CYBB, BTK, and IL13RA1) at the single plasmacytoid dendritic cell (pDC) level. We observe escape from XCI for all investigated genes, leading to biallelic expression patterns. pDCs with biallelic gene expression have significantly higher mRNA levels of the respective genes. Unstimulated pDCs with biallelic TLR7 expression exhibit significantly higher IFNα/β mRNA levels, and IFNα exposure results in significantly increased IFNα/β protein production by pDCs. These results identify unanticipated heterogeneity in escape from XCI of several genes in pDCs and highlight the important contribution of X chromosome factors to sex differences in type I IFN responses, which might explain observed sex differences in human diseases.","experiment","TLR7, RPS6KA3, CYBB, BTK, IL13RA1","","","","IFN production","autoimmune","","mRNA ","","","","very relevant"
"2",153,"Interferon inducible X-linked gene CXorf21 may contribute to sexual dimorphism in Systemic Lupus Erythematosus",2019,"Nat Commun","Odhams, C. A. and Roberts, A. L. and Vester, S. K. and Duarte, C. S. T. and Beales, C. T. and Clarke, A. J. and Lindinger, S. and Daffern, S. J. and Zito, A. and Chen, L. and Jones, L. L. and Boteva, L. and Morris, D. L. and Small, K. S. and Fernando, M. M. A. and Cunninghame Graham, D. S. and Vyse, T. J.","Systemic lupus erythematosus (SLE) is an autoimmune disease, characterised by increased expression of type I interferon (IFN)-regulated genes and a striking sex imbalance towards females. Through combined genetic, in silico, in vitro, and ex vivo approaches, we define CXorf21, a gene of hitherto unknown function, which escapes X-chromosome inactivation, as a candidate underlying the Xp21.2 SLE association. We demonstrate that CXorf21 is an IFN-response gene and that the sexual dimorphism in expression is magnified by immunological challenge. Fine-mapping reveals a single haplotype as a potential causal cis-eQTL for CXorf21. We propose that expression is amplified through modification of promoter and 3'-UTR chromatin interactions. Finally, we show that the CXORF21 protein colocalises with TLR7, a pathway implicated in SLE pathogenesis. Our study reveals modulation in gene expression affected by the combination of two hallmarks of SLE: CXorf21 expression increases in a both an IFN-inducible and sex-specific manner.","experiment","CXORF21, TLR7","","","","IFN production","systemic lupus erythematosus (sle), autoimmune","","","","","","very relevant"
"3",166,"B cell-specific XIST complex enforces X-inactivation and restrains atypical B cells",2021,"Cell","Yu, B. F. and Qi, Y. Y. and Li, R. and Shi, Q. M. and Satpathy, A. T. and Chang, H. Y.","The long non-coding RNA (lncRNA) XIST establishes X chromosome inactivation (XCI) in female cells in early development and thereafter is thought to be largely dispensable. Here, we show XIST is continually required in adult human B cells to silence a subset of X-linked immune genes such as TLR7. XIST-dependent genes lack promoter DNA methylation and require continual XIST-dependent histone deacetylation. XIST RNA-directed proteomics and CRISPRi screen reveal distinctive somatic cell-type-specific XIST complexes and identify TRIM28 that mediates Pol II pausing at promoters of X-linked genes in B cells. Single-cell transcriptome data of female patients with either systemic lupus erythematosus or COVID-19 infection revealed XIST dysregulation, reflected by escape of XIST-dependent genes, in CD11c(+) atypical memory B cells (ABCs). XIST inactivation with TLR7 agonism suffices to promote isotype-switched ABCs. These results indicate cell-type-specific diversification and function for lncRNA-protein complexes and suggest expanded roles for XIST in sex-differences in biology and medicine.","experiment","XIST, TLR7","","","","XCI","systemic lupus erythematosus (sle), covid-19","histone deacetylation, DNA methylation","","","","","very relevant"
"4",377,"Female Bias in Systemic Lupus Erythematosus is Associated with the Differential Expression of X-Linked Toll-Like Receptor 8",2015,"Front Immunol","McDonald, G. and Cabal, N. and Vannier, A. and Umiker, B. and Yin, R. H. and Orjalo, A. V., Jr. and Johansson, H. E. and Han, J. H. and Imanishi-Kari, T.","Systemic lupus erythematosus (SLE) is a chronic autoimmune disease characterized by the production of anti-nuclear antibodies. SLE is one of many autoimmune disorders that have a strong gender bias, with 70-90% of SLE patients being female. Several explanations have been postulated to account for the severity of autoimmune diseases in females, including hormonal, microbiota, and gene dosage differences. X-linked toll-like receptors (TLRs) have recently been implicated in disease progression in females. Our previous studies using the 564Igi mouse model of SLE on a Tlr7 and Tlr9 double knockout background showed that the presence of Tlr8 on both X chromosomes was required for the production of IgG autoantibodies, Ifn-I expression and granulopoiesis in females. Here, we show the results of our investigation into the role of Tlr8 expression in SLE pathogenesis in 564Igi females. Female mice have an increase in serum pathogenic anti-RNA IgG2a and IgG2b autoantibodies. 564Igi mice have also been shown to have an increase in neutrophils in vivo, which are major contributors to Ifn-Œ± expression. Here, we show that neutrophils from C57BL/6 mice express Ifn-Œ± in response to 564 immune complexes and TLR8 activation. Bone marrow-derived macrophages from 564Igi females have a significant increase in Tlr8 expression compared to male-derived cells, and RNA fluorescence in situ hybridization data suggest that Tlr8 may escape X-inactivation in female-derived macrophages. These results propose a model by which females may be more susceptible to SLE pathogenesis due to inefficient inactivation of Tlr8.","experiment","Tlr8","","","","EXCI","systemic lupus erythematosus","","mice","","","","relevant"
"5",184,"Long noncoding RNA XIST: Mechanisms for X chromosome inactivation, roles in sex-biased diseases, and therapeutic opportunities",2022,"Genes and Diseases","Li, J. and Ming, Z. and Yang, L. and Wang, T. and Liu, G. and Ma, Q.","Sexual dimorphism has been reported in various human diseases including autoimmune diseases, neurological diseases, pulmonary arterial hypertension, and some types of cancers, although the underlying mechanisms remain poorly understood. The long noncoding RNA (lncRNA) X-inactive specific transcript (XIST) is involved in X chromosome inactivation (XCI) in female placental mammals, a process that ensures the balanced expression dosage of X-linked genes between sexes. XIST is abnormally expressed in many sex-biased diseases. In addition, escape from XIST-mediated XCI and skewed XCI also contribute to sex-biased diseases. Therefore, its expression or modification can be regarded as a biomarker for the diagnosis and prognosis of many sex-biased diseases. Genetic manipulation of XIST expression can inhibit the progression of some of these diseases in animal models, and therefore XIST has been proposed as a potential therapeutic target. In this manuscript, we summarize the current knowledge about the mechanisms for XIST-mediated XCI and the roles of XIST in sex-biased diseases, and discuss potential therapeutic strategies targeting XIST.","review","Xist","","","","XCI, Xist regulation","autoimmune, neurological, pulmonary hypertension, cancer","","","","","","very relevant, exactly what we want to write"
"6",311,"Application of microarrays to the analysis of the inactivation status of human X-linked genes expressed in lymphocytes",2004,"European Journal of Human Genetics","Craig, I. W. and Mill, J. and Craig, G. M. and Loat, C. and Schalkwyk, L. C.","Dosage compensation in mammalian females is achieved by the random inactivation of one X chromosome early in development; however, inactivation is not complete. In addition to a majority of pseudoautosomal loci, there are genes that are expressed from both the active and the inactive X chromosomes, and which are interspersed among other genes subject to regular dosage compensation. The patterns of X-linked gene expression in different tissues are of great significance for interpreting their impact on sex differences in development. We have examined the suitability and sensitivity of a microarray approach for determining the inactivation status of X-linked genes. Biotinylated cRNA from six female and six male lymphocyte samples were hybridised to Affymetrix HG-U133A microarrays. A total of 36 X-linked targets detected significantly higher levels of female transcripts, suggesting that these corresponded to sequences from loci that escaped, at least partly, from inactivation. These included genes for which previous experimental evidence, or circumstantial evidence, existed for their escape, and some novel candidates. Six of the targets were represented by more than one probe set, which gave independent support for the conclusions reached. European Journal of Human Genetics ( 2004).","experiment","x","x","","x","EXCI","autoimmune","","microarrays","","","","very relevant"
"7",309,"Bioinformatics Analysis of Differential Expressed Gene in Sle with and without Nephritis in Male and Female Patients to Identify Gene in Common as a Candidate Molecular Pathway",2020,"American Journal of Kidney Diseases","Suwanwongse, K. and Shabarek, N.","Systemic lupus erythematous (SLE) is one of the most common autoimmune disease that can destroy any organ systems. SLE incidence in female is substantially higher than males, but males tend to have more severe manifestations including greater risk of lupus nephritis (LN). Aberrant genetic expression of immune cells plays a vital role in pathogenesis of SLE and may explain gender diapariesties. We conducted bioinformatic analysis of differentially expressed genes (DEGs) in SLE females and males with and without LN to identify gene differences and possible sex-tailored treatment. The gene expression profiling datasets (GSE 99967) were obtained from Gene Expression Omnibus database: www.ncbi.nlm.nih.gov/geo and analyzed by GEO2R platform. GSE 99967 used ffymetrix Human Gene 2.0 ST Array and mRNA from whole blood. The t-test was done and adjusted P-value < 0.03 by Benjamini & Hochberg method was a threshold for statistically significant DEGs. 15 and 13 DEGs were obtained comparing SLE females with SLE males without and with LN, respectively. 13 common genes identified in both comparisons. XIST was the only down-regulated gene in male, located at X chromosome and responsible for initiation and spread of X-inactivation. X inactivation provides XIST dosage equivalence between genders. This suggested altered X-chromosome inactivation lead to female bias in SLE. Of 12 common up-regulated genes in male, 10 located at Y chromosome and showed a decrease up-regulated in SLE males with LN compare to without. A markly DEGs drop was found in TXLNGY, UTY and USP9Y, located at Yq 11.22. TXLNGY is a pseudo-gene so may not have roles in sex bias. UTY is a male-specific histone demethylase and USP9Y regulates level of protein turnover by preventing protein degradation including TGF-beta signaling. Change in UTY and USP9Y expression may associate with developing LN and drugs modifying their expression might benefit in treatment or prevention of LN in SLE males. The study enhanced an understanding of SLE sexual bias. Aberrant XIST inactivation may cause different incidence of SLE among gender. Drugs changing XIST expression might cure SLE. Change in UTY and USP9Y expression may relate to LN in male and drugs altering their expression might help in LN treatment and prevention.","experiment","UTY, USP9Y, Xist","","","","gene expression","systemic lupus erythematous (sle), autoimmune,  lupus nephritis (ln)","","expression data","","","","relevant"
"8",315,"Why women have more autoimmune diseases than men: An evolutionary perspective",2021,"Evolutionary Applications","Kronzer, V. L. and Bridges, S. L. and Davis, J. M.","Women have up to a fourfold increase in risk for autoimmune disease compared to men. Many explanations have been proposed, including sex hormones, the X chromosome, microchimerism, environmental factors, and the microbiome. However, the mechanism for this autoimmune sex bias remains obscure. In this manuscript, we evaluate the hypothesis that qualitative or quantitative differences in circulating antibodies may explain, at least in part, the pathogenesis of autoimmune disease and its sex bias-especially when considering an evolutionary perspective. Indeed, women have higher absolute levels of antibodies than men, and (auto)antibodies are also associated with most autoimmune diseases. Several facts suggest differences in antibodies may cause increased prevalence of autoimmune disease in women. First, the association between increased quantities of serum antibodies and increased prevalence of autoimmunity is found not only in women, but also in men with Klinefelter syndrome. Second, both serum antibody levels and autoimmunity spike in the postpartum period. Third, a dose-response effect exists between parity and both serum antibodies and prevalence of autoimmune disease. Fourth, many biologically plausible mechanisms explain the association, such as T cell-dependent activation of B cells and/or VGLL3. The evolutionary underpinning of increased antibodies in women is likely to be protection of offspring from infections. Overall, this evolutionary paradigm can help explain why the phenomenon of autoimmunity occurs preferentially in women and raises the possibility of new treatment options.","review","","","","","antibodies","autoimmune","","","","","","relevant"
"9",170,"Gender, aging and longevity in humans: an update of an intriguing/neglected scenario paving the way to a gender-specific medicine",2016,"Clinical Science","Ostan, R. and Monti, D. and Gueresi, P. and Bussolotto, M. and Franceschi, C. and Baggio, G.","Data showing a remarkable gender difference in life expectancy and mortality, including survival to extreme age, are reviewed starting from clinical and demographic data and stressing the importance of a comprehensive historical perspective and a gene-environment/lifestyle interaction. Gender difference regarding prevalence and incidence of the most important age-related diseases, such as cardiovascular and neurodegenerative diseases, cancer, Type 2 diabetes, disability, autoimmunity and infections, are reviewed and updated with particular attention to the role of the immune system and immunosenescence. On the whole, gender differences appear to be pervasive and still poorly considered and investigated despite their biomedical relevance. The basic biological mechanisms responsible for gender differences in aging and longevity are quite complex and still poorly understood. The present review focuses on centenarians and their offspring as a model of healthy aging and summarizes available knowledge on three basic biological phenomena, i.e. age-related X chromosome inactivation skewing, gut microbiome changes and maternally inherited mitochondrial DNA genetic variants. In conclusion, an appropriate gender-specific medicine approach is urgently needed and should be systematically pursued in studies on healthy aging, longevity and age-related diseases, in a globalized world characterized by great gender differences which have a high impact on health and diseases.","review","","","","","XCI","cardiovascular, neurological, cancer, type 2 diabetes, disability, autoimmune, infection","","","","","","relevant"
"10",393,"X marks the spot in autoimmunity",2022,"Expert Review of Clinical Immunology","Gerussi, A. and Caime, C. and Binatti, E. and Cappadona, C. and Cristoferi, L. and Asselta, R. and Gershwin, M. E. and Invernizzi, P.","Introduction Autoimmune diseases mostly affect females. Besides hormones, several factors related to chromosome X have been called in action to explain this sex predominance. Areas covered This paper provides an overview on the role of chromosome X (chrX) in explaining why females have higher susceptibility to autoimmunity. The work outlines some essential concepts regarding chrX inactivation, escape from chrX inactivation and the evolutionary history of chrX. In addition, we will discuss the concept of gene escape in immune cells, with examples related to specific X-linked genes and autoimmune diseases. Expert opinion There is growing evidence that many genes present on chrX escape inactivation, and some of them have significant immune-mediated functions. In immune cells of female individuals the escape of these genes is not constant, but the knowledge of the mechanisms controlling this plasticity are not completely understood. Future studies aimed at the characterization of these modifications at single-cell resolution, together with conformational 3D studies of the inactive X chromosome, will hopefully help to fill this gap of knowledge.","review","x","","","","EXCI","autoimmune","","","","","","relevant"
