key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-902924676,Role of X chromosome defects in primary biliary cirrhosis,2007,,,Hepatology Research,1386-6346,37,,S384-S388,"Invernizzi, P.",https://www.embase.com/search/results?subaction=viewrecord&id=L47570649&from=exporthttp://dx.doi.org/10.1111/j.1872-034X.2007.00223.x,,,,"Similar to the majority of autoimmune conditions, primary biliary cirrhosis (PBC) is a chronic cholestatic liver disease characterized by a striking female predominance; it is characterized by high titer serum autoantibodies to mitochondrial antigens, elevated serum immunoglobulin M, progressive destruction of intrahepatic bile ducts, and ultimately liver cirrhosis and failure. Familiarity and high concordance rates for the disease among monozygotic twins strongly support the role of genetics in the disease. Experimental efforts have been dedicated by our and other research groups to investigate the role of X chromosome abnormalities (i.e. monosomyrates and inactivation patterns) in autoimmunity. Our recent work has demonstrated enhanced X monosomy in women with PBC as well as two other female-predominant autoimmune diseases, systemic sclerosis and autoimmune thyroid disease. We will review herein the most recent evidence on the role of the X chromosome in PBC onset and discuss the potential implications. Future developments of these findings will be discussed. © 2007 The Japan Society of Hepatology.","L47570649 2007-10-01 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: body,autoimmune",10.1111/j.1872-034X.2007.00223.x,"estrogen receptor;adaptive immunity;autoimmune disease;autoimmunity;B lymphocyte;chromosome inactivation;conference paper;DNA methylation;environmental factor;epigenetics;gene mapping;genetic susceptibility;heredity;human;monosomy;monozygotic twins;pathogenesis;peripheral blood mononuclear cell;phenotype;primary biliary cirrhosis;priority journal;sex difference;systemic sclerosis;thyroid disease;X chromosome aberration;X chromosome linkage;X Chromosome;Liver Cirrhosis, Biliary",,
rayyan-902924678,Uncharacterized X-linked protein CXorf21 provides molecular explanation for sex-bias in SLE,2018,,,Clinical and Experimental Rheumatology,1593-098X,36,3,S242,"Harris, V. and Koelsch, K. and Kurien, B. and Harley, I. and Scofield, H.",https://www.embase.com/search/results?subaction=viewrecord&id=L629437201&from=export,,,,"Background. Sjögren's syndrome (SS) and systemic lupus erythematosus (SLE) are complex autoimmune disorder related by B cell hyperactivity resulting in autoantibody and cytokine production. Approximately 90% of patients are female. We have produced data showing an X-chromosome gene dose effect or simply the number of X chromosomes increases susceptibility. Therefore, our objective is to functionally describe the protein encoded by the gene Chromosome X open reading frame 21 (CXorf21), which escapes X inactivation and is a lupus risk gene, to uncover any role this protein may have in the pathogenesis or susceptibility to SS and SLE. Publically available data predict CXorf21 is a dehydrogenase/reductase expressed almost exclusively in B cells and myeloid lineage antigen-presenting cells. Additional studies show that CXorf21 directly interacts with another SS/SLE-associated risk allele, Slc15A4. SLC15a4, a pH-sensitive lysosomal proton-oligopeptide co-transporter; and, is necessary for lysosomal antigen processing, TLR7-and NOD1-mediated cytokine as well as antibody production in dendritic cells and B cells. Methods. We used quantitative real-time PCR, Western blot protein analysis, immunofluorescence, pHrodo™ and Lysosensor™ assays, as well as, in vitro CRISPR-Cas9 knockdown experiments to examine the role of CXorf21 in monocytes and B cell immunity. Results. Our in vitro qPCR data confirm CXorf21 expression in CD19+ B cells and monocytes. Preliminary immunofluorescence studies show that CXorf21 is a cytosolic rather than nuclear protein. Our data show that CXorf21 basal gene and protein expression is elevated more than 1.5-fold in female primary monocytes compared to male cells. Additionally, we found that following a time-and concentration-dependent activation by TLR7 (Imiquimod [2μM]) or NOD1 (C12-iE-DAP [20μM]) agonists, resulted in TLR7 and CXorf21 expression increase 3-and 5-fold, respectively. Successful knockdown of CXorf21, using CXorf21-specific gRNA (CRISPRCas9), abrogated this effect. Initial pHrodo™ [20μg/ml] and Lysosensor™ [10μM] lysosomal experiments revealed that healthy male primary monocytes trend toward a higher pH, while healthy female monocytes lysosomes had a lower pH, and knockdown of CXorf21 protein resulted in an increased lysosomal pH in female monocytes, and no change in the male sample. Furthermore, treatment with hydroxychloroquine (HCQ) increased lysosomal pH in female cells. Conclusion. CXorf21 is over-expressed in female immune cells compared to male cells, and is involved in a sex-dependent dimorphic response to activation through TLR7 or NOD1. In addition, lysosomal pH is regulated by CXorf21 is a sexually dimorphic manner. We propose that CXorf21 maintains the lysosome pH environment necessary for monocyte and B cell immune response. Thus, sexual dimorphic expression of CXorf21, based on escape of X chromosome inactivation, skews (auto) antigen processing and immune response by women compared to men. CXorf21 may be a major contributor to disease pathogenesis, and sex bias of the diseases based on an X chromosome dosage effect.","L629437201 2019-10-02 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune,very relevant",,autoantigen;caspase recruitment domain protein 4;cotransporter;cytokine;endogenous compound;hydroxychloroquine;imiquimod;nuclear protein;oligopeptide;oxidoreductase;toll like receptor 7;adult;allele;antibody production;antigen presentation;conference abstract;controlled study;CRISPR-CAS9 system;dendritic cell;dose response;enzyme activity;female;gene overexpression;genetic association;genetic susceptibility;human;human cell;humoral immunity;immunocompetent cell;immunofluorescence;in vitro study;lysosome;male;monocyte;open reading frame;protein expression;protein function;quantitative analysis;real time polymerase chain reaction;systemic lupus erythematosus;Western blotting;X chromosome inactivation;Bias (Epidemiology),,
rayyan-902924680,"Searching for the ""X factor"" in Sjögren's syndrome female predilection",2022,,,Clinical and Experimental Rheumatology,1593-098X 0392-856X,39,6,S206-S214,"Chatzis, L. G. and Goules, A. V. and Tzioufas, A. G.",https://www.embase.com/search/results?subaction=viewrecord&id=L2017832092&from=exporthttp://dx.doi.org/10.55563/CLINEXPRHEUMATOL/88DYRN,,,,"Sjögren's syndrome is typified by a strong female predilection which is also observed in other systemic autoimmune diseases. Although many factors may be contributing to this phenomenon, the exact underlying mechanisms remain unclear. Apart from the traditionally considered hormonal and environmental factors, lately the role of sex chromosomes and especially of the X chromosome has drawn much attention. In the current review, we focus on the inherent genetic imbalance between the sex chromosomes and their influence and role on gender-discordant disease presentation. To compensate for this imbalance, nature has created a defective epigenetic mechanism to silence the second rich in immune related genes X chromosome. Genes escaping silencing, transfer the genetic imbalance into the transcriptional and protein level, contributing to gender differences as reflected in functions of the innate and adaptive immunity. Under this prism, recent research data on SS, regarding specific immune X-linked loci are being presented and analysed. The ""X Factor""in the search for an explication of women's predilection in autoimmunity, may lie behind these unique properties of the X chromosome.","L2017832092 2022-05-03 2022-05-25 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.55563/clinexprheumatol/88dyrn,CD40 ligand;chemokine receptor CCR3;chromosome X open reading frame 21;hormone;interleukin 1 receptor associated kinase;membrane protein;toll like receptor 7;unclassified drug;adaptive immunity;autoimmunity;chromosome analysis;chromosome X open reading frame 21 gene;environmental factor;epigenetics;gender bias;gene;gene expression;gene silencing;gene transfer;genetic susceptibility;genetic transcription;human;immune-related gene;innate immunity;nonhuman;review;sex chromosome;sex difference;Sjoegren syndrome;systemic autoimmune disease;X chromosome;X chromosome inactivation;Y chromosome,,
rayyan-902924699,Sex differences and genomics in autoimmune diseases,2012,,,Journal of Autoimmunity,0896-8411 1095-9157,38,2,J254-J265,"Amur, S. and Parekh, A. and Mummaneni, P.",https://www.embase.com/search/results?subaction=viewrecord&id=L51786452&from=exporthttp://dx.doi.org/10.1016/j.jaut.2011.12.001,,,,"Autoimmune diseases (AIDs) are believed to be multifactorial diseases that commonly involve multiple organ systems. About three fourth of the patients afflicted with AIDs are women suggesting that sex differences impact the incidence of AID. However, the proportion of females to males suffering from AID varies depending on the disease. The response to some AID therapeutics also differs in females versus males, suggesting that enrollment of adequate numbers of women and men is important in clinical trials for development of AID drugs. It is known for a long time that genetic factors are important contributors to AID susceptibility. Currently available information suggests that multiple genes with modest association to AID contribute to susceptibility to AID. Also, the associations may differ for the various ethnicities. The major histocompatibility (MHC) locus appears to be a major genetic factor that confers susceptibility to multiple AIDs, even though the locus is complex and has the highest density of genes in the human genome. Thus, the association of different AIDs could be with different genes in the MHC locus. Among the non-MHC genes, some of the risk alleles are shared between different AIDs, but may not be common to all AIDs. For example, genetic polymorphisms in the Protein Tyrosine Phosphatase-22 (PTPN22) gene have reproducibly shown to have association with systemic lupus erythematosus (SLE), Graves' disease (GD), rheumatoid arthritis (RA) and multiple sclerosis (MS), but not with psoriasis. Identification of factors responsible for risk for developing AID and the of the pathways underlying these diseases are likely to help understand subsets of disease, identify responders to a specific treatment and develop better therapeutics for AID. © 2011.","L51786452 2011-12-29 2012-04-02 | RAYYAN-INCLUSION: {""Nala""=>""Maybe""} | RAYYAN-LABELS: autoimmune",10.1016/j.jaut.2011.12.001,azathioprine;cyclophosphamide;fingolimod;major histocompatibility antigen class 1;major histocompatibility antigen class 2;mitoxantrone;natalizumab;non receptor protein tyrosine phosphatase 22;steroid;Addison disease;ankylosing spondylitis;article;autoimmune disease;autoimmune hepatitis;autoimmune thyroiditis;autoimmunity;celiac disease;chronic active hepatitis;clinical trial (topic);dermatomyositis;disease predisposition;dizygotic twins;DNA methylation;drug screening;enteritis;environmental factor;ethnicity;gene expression profiling;genetic association;genetic polymorphism;genetic risk;genetic susceptibility;genomics;glomerulonephritis;Goodpasture syndrome;Graves disease;Guillain Barre syndrome;heredity;histone modification;human;hypothyroidism;immunoglobulin A nephropathy;immunosuppressive treatment;insulin dependent diabetes mellitus;major histocompatibility complex;medication therapy management;monosomy X;monozygotic twins;multiple sclerosis;myasthenia gravis;pernicious anemia;polymyositis;prevalence;primary biliary cirrhosis;priority journal;psoriasis;rheumatoid arthritis;sex difference;Sjoegren syndrome;steroid therapy;survival rate;systemic lupus erythematosus;systemic sclerosis;T lymphocyte;thyroid function;thyroidectomy;treatment outcome;treatment response;twin concordance;uveitis;vitiligo;X chromosome;X chromosome inactivation;Sex Characteristics;Autoimmune Diseases;Genome;Genomics,,
rayyan-902924700,The X chromosome and immune associated genes,2012,,,Journal of Autoimmunity,0896-8411 1095-9157,38,2,J187-J192,"Bianchi, I. and Lleo, A. and Gershwin, M. E. and Invernizzi, P.",https://www.embase.com/search/results?subaction=viewrecord&id=L51768939&from=exporthttp://dx.doi.org/10.1016/j.jaut.2011.11.012,,,,"The X chromosome is known to contain the largest number of immune-related genes of the whole human genome. For this reason, X chromosome has recently become subject of great interest and attention and numerous studies have been aimed at understanding the role of genes on the X chromosome in triggering and maintaining the autoimmune aggression. Autoimmune diseases are indeed a growing heath burden affecting cumulatively up to 10% of the general population. It is intriguing that most X-linked primary immune deficiencies carry significant autoimmune manifestations, thus illustrating the critical role played by products of single gene located on the X chromosome in the onset, function and homeostasis of the immune system. Again, the plethora of autoimmune stigmata observed in patients with Turner syndrome, a disease due to the lack of one X chromosome or the presence of major X chromosome deletions, indicate that X-linked genes play a unique and major role in autoimmunity. There have been several reports on a role of X chromosome gene dosage through inactivation or duplication in women with autoimmune diseases, for example through a higher rate of circulating cells with a single X chromosome (i.e. with X monosomy). Finally, a challenge for researchers in the coming years will be to dissect the role for the large number of X-linked microRNAs from the perspective of autoimmune disease development. Taken together, X chromosome might well constitute the common trait of the susceptibility to autoimmune diseases, other than to explain the female preponderance of these conditions. This review will focus on the available evidence on X chromosome changes and discuss their potential implications and limitations. © 2011 Elsevier Ltd.","L51768939 2011-12-20 2012-04-02 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1016/j.jaut.2011.11.012,CD11 antigen;CD40 ligand;CD70 antigen;microRNA;article;autoimmune disease;autoimmunity;CD4+ T lymphocyte;chromosome deletion X;chromosome inactivation;chromosome mutation;gene dosage;genetic predisposition;genetic risk;geographic distribution;heredity;heterochromatin;human;hyper IgM syndrome;immune response gene;immunoregulation;IPEX syndrome;major histocompatibility complex;monosomy X;mosaicism;nonhuman;priority journal;sex difference;Turner syndrome;Wiskott Aldrich syndrome;X chromosome;X chromosome inactivation;X linked severe combined immunodeficiency;Y chromosome;X Chromosome,,
rayyan-902924701,Autoimmune disease and gender: Plausible mechanisms for the female predominance of autoimmunity,2012,,,Journal of Autoimmunity,0896-8411 1095-9157,38,2,J109-J119,"Quintero, O. L. and Amador-Patarroyo, M. J. and Montoya-Ortiz, G. and Rojas-Villarraga, A. and Anaya, J. M.",https://www.embase.com/search/results?subaction=viewrecord&id=L51712531&from=exporthttp://dx.doi.org/10.1016/j.jaut.2011.10.003,,,,"A large number of autoimmune diseases (ADs) are more prevalent in women. The more frequent the AD and the later it appears, the more women are affected. Many ideas mainly based on hormonal and genetic factors that influence the autoimmune systems of females and males differently, have been proposed to explain this predominance. These hypotheses have gained credence mostly because many of these diseases appear or fluctuate when there are hormonal changes such as in late adolescence and pregnancy. Differences in X chromosome characteristics between men and women with an AD have led researchers to think that the genetic background of this group of diseases also relates to the genetic determinants of gender. These hormonal changes as well as the genetic factors that could explain why women are more prone to develop ADs are herein reviewed. © 2011 Elsevier Ltd.","L51712531 2011-11-16 2012-04-02 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1016/j.jaut.2011.10.003,androgen;bromocriptine;estrogen;estrogen receptor;prolactin;antibody production;article;autoimmune disease;autoimmunity;B lymphocyte activation;CD4 lymphocyte count;CD8+ T lymphocyte;cellular immunity;disease association;disease predisposition;genetic risk;hormonal regulation;human;humoral immunity;Klinefelter syndrome;lymphoma;microchimerism;monocyte;monosomy X;multiple sclerosis;natural killer cell;neutrophil;onset age;pregnancy;pregnancy outcome;prevalence;priority journal;Raynaud phenomenon;receptor binding;rheumatoid arthritis;sex difference;Sjoegren syndrome;systemic lupus erythematosus;systemic sclerosis;T lymphocyte activation;Th1 cell;Th2 cell;X chromosome;X chromosome inactivation;Y chromosome;Autoimmune Diseases,,
rayyan-902924725,Skewed X chromosome inactivation and female preponderance in autoimmune thyroid disease: an association study and meta-analysis,2014,1,,J Clin Endocrinol Metab,0021-972x,99,1,E127-131,"Simmonds, M. J. and Kavvoura, F. K. and Brand, O. J. and Newby, P. R. and Jackson, L. E. and Hargreaves, C. E. and Franklyn, J. A. and Gough, S. C.",,,,,"CONTEXT: A number of small data sets have suggested a potential role for skewed X chromosome activation (XCI), away from the expected 50:50 parent of origin ratio, as an explanation for the strong female preponderance seen in the common autoimmune thyroid diseases (AITD), Graves' disease (GD), and Hashimoto's thyroiditis (HT). OBJECTIVE: The objective of the study was to confirm a role for XCI skewing as a potential explanation for the strong female preponderance seen in AITD. DESIGN: The design of the study was to screen XCI in the largest GD, HT, and control case-control cohort and family cohort to date and undertake a meta-analysis of previous AITD XCI reports. SETTING: The study was conducted at a research laboratory. PATIENTS: Three hundred and nine GD, 490 HT, and 325 female UK Caucasians controls, 273 UK Caucasian GD families, and a meta-analysis of 454 GD, 673 HT, and 643 female Caucasian controls were included in the study. MAIN OUTCOME MEASURES: Case-control and family-based association studies and meta-analysis were measured. RESULTS: Skewed XCI was observed with GD [odds ratio (OR) 2.17 [95% confidence interval (CI) 1.43-3.30], P=2.1×10(-4)] and a trend toward skewing with HT (P=.08) compared with the control cohort. A meta-analysis of our UK data and that of four previous non-UK Caucasian studies confirmed significant skewing of XCI with GD [OR 2.54 (95% CI 1.58-4.10), P=1.0×10(-4), I2=30.2%] and HT [OR 2.40 (95% CI 1.10-5.26), P=.03, I2=74.3%]. CONCLUSIONS: Convincing evidence exists to support a role for skewed XCI in female subjects with AITD, which may, in part, explain the strong female preponderance observed in this disease.","1945-7197 Simmonds, Matthew J Kavvoura, Fotini K Brand, Oliver J Newby, Paul R Jackson, Laura E Hargreaves, Chantal E Franklyn, Jayne A Gough, Stephen C L 068181/Wellcome Trust/United Kingdom Journal Article Meta-Analysis Research Support, Non-U.S. Gov't United States 2013/11/05 J Clin Endocrinol Metab. 2014 Jan;99(1):E127-31. doi: 10.1210/jc.2013-2667. Epub 2013 Dec 20. | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1210/jc.2013-2667,"Adult;Case-Control Studies;Female;Genetic Association Studies;Genetic Predisposition to Disease;Humans;Male;Middle Aged;Pedigree;Sex Factors;Thyroiditis, Autoimmune/epidemiology/*genetics;United Kingdom/epidemiology;Whites/statistics & numerical data;X Chromosome Inactivation/*genetics;Young Adult;X Chromosome;Thyroid Diseases;Thyroid Gland",,
rayyan-902924731,The X chromosome and the sex ratio of autoimmunity,2012,5,,Autoimmun Rev,1568-9972,11,6,A531-537,"Selmi, C. and Brunetta, E. and Raimondo, M. G. and Meroni, P. L.",,,,,"The number of human conditions that are currently considered to be autoimmune diseases (AID) has been steadily growing over the past decades and it is now estimated that over 10 million people are affected in the United States. One of the major shared features among AID is the predominance in the female sex which in some cases changes with the age at disease diagnosis. Numerous hypotheses have been formulated based on intuitive scientific backgrounds to justify this sex imbalance, i.e. sex hormones and reproductive factors, fetal microchimerism, other sex-related environmental factors, a skewing of the X-chromosome inactivation patterns, and major defects in sex chromosomes. Nevertheless, none of these hypotheses has thus far gathered enough convincing evidence and in most cases data are conflicting, as well illustrated by the reports on fetal microchimerism in systemic sclerosis or primary biliary cirrhosis. The present article will critically discuss the main hypotheses (loss of mosaicism, reactivation, and haploinsufficiency) that have been proposed based on findings in female patients with specific AID along with two additional mechanisms (X-chromosome vulnerability and X-linked polyamine genes) that have been observed in AID models. Further, recent data have significantly shifted the paradigm of X chromosome inactivation by demonstrating that a large number of genes can variably escape silencing on one or both chromosomes. As a result we may hypothesize that more than one mechanism may contribute to the female susceptibility to tolerance breakdown while the possibility that unknown factors may indeed protect men from AID should not be overlooked.","1873-0183 Selmi, Carlo Brunetta, Enrico Raimondo, Maria Gabriella Meroni, Pier Luigi Journal Article Review Netherlands 2011/12/14 Autoimmun Rev. 2012 May;11(6-7):A531-7. doi: 10.1016/j.autrev.2011.11.024. Epub 2011 Dec 3. | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1016/j.autrev.2011.11.024,"Autoimmune Diseases/*genetics/immunology;Autoimmunity/*genetics/immunology;Chromosomes, Human, X/*genetics/immunology;Female;*Genetic Predisposition to Disease;Humans;Male;*Sex Factors;Sex Ratio;X Chromosome Inactivation;X Chromosome;Sex Chromosomes",,
rayyan-902924732,Sex differences in spontaneous versus induced animal models of autoimmunity,2012,5,,Autoimmunity Reviews,1568-9972 1873-0183 J9 - AUTOIMMUN REV,11,6,A422-A429,"Lee, T. P. and Chiang, B. L.",,,,,"There is a supposed link between autoimmune diseases and sex hormones. To better understand the pathogenesis of human autoimmune diseases, an animal model is a good tool that can also help in developing novel therapeutics for diseases. Animal models of diseases can be divided into naturally occurring or induced by physical, chemical, or biological factors. Most human autoimmune diseases like systemic lupus erythematosus (SLE), Sjogren's syndrome (SS), primary biliary cirrhosis (PBC), Hashimoto's thyroiditis (HT), rheumatoid arthritis (RA), and multiple sclerosis (MS) have increased incidence and prevalence in females, but so far, sex differences and hormone therapy in spontaneous or chemical induced animal models of autoimmunity are not entirely clear. Possible reasons for the differing incidence and prevalence of autoimmune diseases in human and animal models is the focus of interest. This review described the known effects of the female sex hormones, estrogen and progesterone, on immune cells in order to clarify sex differences in autoimmune diseases. Data from both human and autoimmune animal studies were reviewed to determine reasons for these differences, and to integrate the role of sex differences and hormone therapy in spontaneous- versus chemical-induced animal models of human autoimmune diseases to clarify sex differences in autoimmunity. (C) 2011 Published by Elsevier B.V.","Times Cited in Web of Science Core Collection: 52 Total Times Cited: 54 Cited Reference Count: 129 | RAYYAN-INCLUSION: {""Nala""=>""Included""} | RAYYAN-LABELS: autoimmune",10.1016/j.autrev.2011.11.020,Sex hormones;Human autoimmune diseases;Animal model;Sex differences;Hormone therapy;SYSTEMIC-LUPUS-ERYTHEMATOSUS;MRL-LPR/LPR MICE;PRIMARY BILIARY-CIRRHOSIS;JUVENILE RHEUMATOID-ARTHRITIS;ALLEVIATES DISEASE SEVERITY;COLLAGEN-INDUCED ARTHRITIS;X-CHROMOSOME INACTIVATION;ANTIGEN-INDUCED ARTHRITIS;BLOOD MONONUCLEAR-CELLS;GENDER-DIFFERENCES;Animals;Animal Shells;Sex Characteristics,,
rayyan-902924733,Gender and the regulation of longevity: Implications for autoimmunity,2012,,,Autoimmunity Reviews,1568-9972 1873-0183,11,6,A393-A403,"Pan, Z. and Chang, C.",https://www.embase.com/search/results?subaction=viewrecord&id=L51823545&from=exporthttp://dx.doi.org/10.1016/j.autrev.2011.12.004,,,,"For humans and other animals, gender has an influence not only on their physical attributes, but also on life span. In humans, females have a longer life span than males. The reasons for this are not entirely clear. The role of gender in the regulation of longevity may be linked to gender specific genetic differences, including the expression of sex hormone patterns and the changes in these patterns during an individual's lifetime. In addition, the effect of sex hormones on other physiologic responses to environmental influences on cellular stress and oxidative damage may play a role in longevity. Gender can impact many disease states, including autoimmune diseases, and the factors that affect the development of autoimmune diseases and the regulation of longevity may share common mechanistic pathways. Other factors that may play a role include telomere and telomerase related differences, caloric restriction and changes in mitochondrial DNA. Inflammatory and regulatory pathways such as insulin/IGF signaling and Target of Rapamycin (TOR) signaling may also play a role in longevity and aging-related diseases such as Alzheimer's. The role of gender differences in the regulation of these pathways or factors is not entirely clear. The role of X-chromosome inactivation in longevity has also yet to be fully elucidated. © 2011 Elsevier B.V.","L51823545 2012-01-28 2012-03-28 | RAYYAN-INCLUSION: {""Nala""=>""Maybe""} | RAYYAN-LABELS: body,autoimmune",10.1016/j.autrev.2011.12.004,8 oxydeoxyguanosine;cytochrome c oxidase;deoxyguanosine derivative;DNA;estradiol;estrogen receptor alpha;estrogen receptor beta;G protein coupled receptor 30;glutathione;glutathione peroxidase;high density lipoprotein cholesterol;HLA B8 antigen;HLA DR11 antigen;HLA DR3 antigen;HLA DR5 antigen;immunoglobulin enhancer binding protein;interleukin 10;low density lipoprotein cholesterol;mammalian target of rapamycin;manganese superoxide dismutase;mitogen activated protein kinase 1;mitogen activated protein kinase 3;phosphatidylinositol 3 kinase;phytoestrogen;protein BAD;protein p53;reactive oxygen metabolite;somatomedin C;testosterone;tumor necrosis factor;unclassified drug;aging;Alzheimer disease;apoptosis;atherosclerosis;autoimmune disease;autoimmunity;bone development;breast cancer;cell aging;cellular immunity;cholesterol blood level;cytokine release;diet restriction;DNA damage;DNA methylation;down regulation;environmental factor;environmental stress;enzyme activation;estrogen responsive element;gender;gene expression;gene mutation;histone modification;human;humoral immunity;immunogenetics;inflammation;Kupffer cell;lifespan;liver injury;longevity;lymphocyte proliferation;mitochondrion;multiple sclerosis;nonhuman;oxidative stress;Parkinson disease;pathophysiology;postmenopause;review;sepsis;sex difference;signal transduction;single nucleotide polymorphism;cerebrovascular accident;survival rate;systemic lupus erythematosus;T lymphocyte;telomere;Th1 cell;transcription regulation;X chromosome inactivation,,
