"","key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id"
"50","rayyan-902924722","Puzzling outcome of the nationwide genetic survey of severe/moderate female haemophilia B in Poland",2019,11,NA,"Haemophilia","1351-8216",25,6,"e373-e376","Janczar, S. and Babol-Pokora, K. and Jatczak-Pawlik, I. and Windyga, J. and Odnoczko, E. and Madetko-Talowska, A. and Sadowska, B. and Zdziarska, J. and Iwaniec, T. and Pietrys, D. and Balwierz, W. and Gazda, H. T. and Ploski, R. and Mlynarski, W.","",NA,NA,NA,"","1365-2516 Janczar, Szymon Orcid: 0000-0001-8007-6969 Babol-Pokora, Katarzyna Jatczak-Pawlik, Izabela Windyga, Jerzy Orcid: 0000-0001-7877-4784 Odnoczko, Edyta Madetko-Talowska, Anna Sadowska, Beata Zdziarska, Joanna Iwaniec, Teresa Pietrys, Danuta Balwierz, Walentyna Gazda, Hanna T Ploski, Rafal Mlynarski, Wojciech H16-35923/Shire/Baxalta Investigator-Initiated Research/ Case Reports Letter England 2019/10/03 Haemophilia. 2019 Nov;25(6):e373-e376. doi: 10.1111/hae.13854. Epub 2019 Oct 2.","10.1111/hae.13854","Adult;Aged, 80 and over;Child, Preschool;Female;Genetic Predisposition to Disease;Hemophilia B/epidemiology/*genetics;Humans;Middle Aged;Mutation;Pedigree;Poland/epidemiology;Sex Factors;X Chromosome Inactivation;Hemophilia A;Hemophilia B;Poland",NA,NA
"51","rayyan-902924723","Emergence of young human genes after a burst of retroposition in primates",2005,11,NA,"PLoS Biol","1544-9173 (Print) 1544-9173",3,11,"e357","Marques, A. C. and Dupanloup, I. and Vinckenbosch, N. and Reymond, A. and Kaessmann, H.","",NA,NA,NA,"The origin of new genes through gene duplication is fundamental to the evolution of lineage- or species-specific phenotypic traits. In this report, we estimate the number of functional retrogenes on the lineage leading to humans generated by the high rate of retroposition (retroduplication) in primates. Extensive comparative sequencing and expression studies coupled with evolutionary analyses and simulations suggest that a significant proportion of recent retrocopies represent bona fide human genes. We estimate that at least one new retrogene per million years emerged on the human lineage during the past approximately 63 million years of primate evolution. Detailed analysis of a subset of the data shows that the majority of retrogenes are specifically expressed in testis, whereas their parental genes show broad expression patterns. Consistently, most retrogenes evolved functional roles in spermatogenesis. Proteins encoded by X chromosome-derived retrogenes were strongly preserved by purifying selection following the duplication event, supporting the view that they may act as functional autosomal substitutes during X-inactivation of late spermatogenesis genes. Also, some retrogenes acquired a new or more adapted function driven by positive selection. We conclude that retroduplication significantly contributed to the formation of recent human genes and that most new retrogenes were progressively recruited during primate evolution by natural and/or sexual selection to enhance male germline function.","1545-7885 Marques, Ana Claudia Dupanloup, Isabelle Vinckenbosch, Nicolas Reymond, Alexandre Kaessmann, Henrik Journal Article Research Support, Non-U.S. Gov't United States 2005/10/06 PLoS Biol. 2005 Nov;3(11):e357. doi: 10.1371/journal.pbio.0030357. Epub 2005 Oct 11.","10.1371/journal.pbio.0030357","Animals;*Biological Evolution;Cell Lineage;Computer Simulation;Evolution, Molecular;Genome;Genome, Human;Humans;Kinetics;Likelihood Functions;Male;Molecular Sequence Data;Open Reading Frames;Peptides;Phenotype;Phylogeny;Polymerase Chain Reaction;Primates;Retroelements/*genetics;Reverse Transcriptase Polymerase Chain Reaction;Sequence Analysis, DNA;Sex Factors;Spermatogenesis;Testis/metabolism;Time Factors;Tissue Distribution;Humanities;Humanism",NA,NA
"52","rayyan-902924724","Sex-specific silencing of X-linked genes by Xist RNA",2016,NA,NA,"Proceedings of the National Academy of Sciences of the United States of America","1091-6490 0027-8424",113,3,"E309-E318","Gayen, S. and Maclary, E. and Hinten, M. and Kalantry, S.","https://www.embase.com/search/results?subaction=viewrecord&id=L607777351&from=exporthttp://dx.doi.org/10.1073/pnas.1515971113",NA,NA,NA,"X-inactive specific transcript (Xist) long noncoding RNA (lncRNA) is thought to catalyze silencing of X-linked genes in cis during X-chromosome inactivation, which equalizes X-linked gene dosage between male and female mammals. To test the impact of Xist RNA on X-linked gene silencing, we ectopically induced endogenous Xist by ablating the antisense repressor Tsix in mice. We find that ectopic Xist RNA induction and subsequent X-linked gene silencing is sex specific in embryos and in differentiating embryonic stem cells (ESCs) and epiblast stem cells (EpiSCs). A higher frequency of XΔTsixY male cells displayed ectopic Xist RNA coating compared with XΔTsixX female cells. This increase reflected the inability of XΔTsixY cells to efficiently silence X-linked genes compared with XΔTsixX cells, despite equivalent Xist RNA induction and coating. Silencing of genes on both Xs resulted in significantly reduced proliferation and increased cell death in XΔTsixX female cells relative to XΔTsixY male cells. Thus, whereas Xist RNA can inactivate the X chromosome in females it may not do so in males. We further found comparable silencing in differentiating XΔTsixY and 39,XΔTsix (XΔTsixO) ESCs, excluding the Y chromosome and instead implicating the X-chromosome dose as the source of the sex-specific differences. Because XΔTsixX female embryonic epiblast cells and EpiSCs harbor an inactivated X chromosome prior to ectopic inactivation of the active XΔTsix X chromosome, we propose that the increased expression of one or more X-inactivation escapees activates Xist and, separately, helps trigger X-linked gene silencing.","L607777351 2016-01-26 2016-02-02","10.1073/pnas.1515971113","protein;RNA;unclassified drug;X inactive specific transcript protein;animal experiment;article;cell death;controlled study;ectoderm;embryonic stem cell;epiblast stem cell;epigenetics;female;gene silencing;genetic variability;male;mouse;nonhuman;priority journal;sex difference;X chromosome;X chromosome inactivation",NA,NA
"53","rayyan-902924725","Skewed X chromosome inactivation and female preponderance in autoimmune thyroid disease: an association study and meta-analysis",2014,1,NA,"J Clin Endocrinol Metab","0021-972x",99,1,"E127-131","Simmonds, M. J. and Kavvoura, F. K. and Brand, O. J. and Newby, P. R. and Jackson, L. E. and Hargreaves, C. E. and Franklyn, J. A. and Gough, S. C.","",NA,NA,NA,"CONTEXT: A number of small data sets have suggested a potential role for skewed X chromosome activation (XCI), away from the expected 50:50 parent of origin ratio, as an explanation for the strong female preponderance seen in the common autoimmune thyroid diseases (AITD), Graves' disease (GD), and Hashimoto's thyroiditis (HT). OBJECTIVE: The objective of the study was to confirm a role for XCI skewing as a potential explanation for the strong female preponderance seen in AITD. DESIGN: The design of the study was to screen XCI in the largest GD, HT, and control case-control cohort and family cohort to date and undertake a meta-analysis of previous AITD XCI reports. SETTING: The study was conducted at a research laboratory. PATIENTS: Three hundred and nine GD, 490 HT, and 325 female UK Caucasians controls, 273 UK Caucasian GD families, and a meta-analysis of 454 GD, 673 HT, and 643 female Caucasian controls were included in the study. MAIN OUTCOME MEASURES: Case-control and family-based association studies and meta-analysis were measured. RESULTS: Skewed XCI was observed with GD [odds ratio (OR) 2.17 [95% confidence interval (CI) 1.43-3.30], P=2.1×10(-4)] and a trend toward skewing with HT (P=.08) compared with the control cohort. A meta-analysis of our UK data and that of four previous non-UK Caucasian studies confirmed significant skewing of XCI with GD [OR 2.54 (95% CI 1.58-4.10), P=1.0×10(-4), I2=30.2%] and HT [OR 2.40 (95% CI 1.10-5.26), P=.03, I2=74.3%]. CONCLUSIONS: Convincing evidence exists to support a role for skewed XCI in female subjects with AITD, which may, in part, explain the strong female preponderance observed in this disease.","1945-7197 Simmonds, Matthew J Kavvoura, Fotini K Brand, Oliver J Newby, Paul R Jackson, Laura E Hargreaves, Chantal E Franklyn, Jayne A Gough, Stephen C L 068181/Wellcome Trust/United Kingdom Journal Article Meta-Analysis Research Support, Non-U.S. Gov't United States 2013/11/05 J Clin Endocrinol Metab. 2014 Jan;99(1):E127-31. doi: 10.1210/jc.2013-2667. Epub 2013 Dec 20.","10.1210/jc.2013-2667","Adult;Case-Control Studies;Female;Genetic Association Studies;Genetic Predisposition to Disease;Humans;Male;Middle Aged;Pedigree;Sex Factors;Thyroiditis, Autoimmune/epidemiology/*genetics;United Kingdom/epidemiology;Whites/statistics & numerical data;X Chromosome Inactivation/*genetics;Young Adult;X Chromosome;Thyroid Diseases;Thyroid Gland",NA,NA
"54","rayyan-902924726","X-linked G6PD deficiency protects hemizygous males but not heterozygous females against severe malaria",2007,3,NA,"PLoS Med","1549-1277 (Print) 1549-1277",4,3,"e66","Guindo, A. and Fairhurst, R. M. and Doumbo, O. K. and Wellems, T. E. and Diallo, D. A.","",NA,NA,NA,"BACKGROUND: Glucose-6-phosphate dehydrogenase (G6PD) is important in the control of oxidant stress in erythrocytes, the host cells for Plasmodium falciparum. Mutations in this enzyme produce X-linked deficiency states associated with protection against malaria, notably in Africa where the A- form of G6PD deficiency is widespread. Some reports have proposed that heterozygous females with mosaic populations of normal and deficient erythrocytes (due to random X chromosome inactivation) have malaria resistance similar to or greater than hemizygous males with populations of uniformly deficient erythrocytes. These proposals are paradoxical, and they are not consistent with currently hypothesized mechanisms of protection. METHODS AND FINDINGS: We conducted large case-control studies of the A- form of G6PD deficiency in cases of severe or uncomplicated malaria among two ethnic populations of rural Mali, West Africa, where malaria is hyperendemic. Our results indicate that the uniform state of G6PD deficiency in hemizygous male children conferred significant protection against severe, life-threatening malaria, and that it may have likewise protected homozygous female children. No such protection was evident from the mosaic state of G6PD deficiency in heterozygous females. We also found no significant differences in the parasite densities of males and females with differences in G6PD status. Pooled odds ratios from meta-analysis of our data and data from a previous study confirmed highly significant protection against severe malaria in hemizygous males but not in heterozygous females. Among the different forms of severe malaria, protection was principally evident against cerebral malaria, the most frequent form of life-threatening malaria in these studies. CONCLUSIONS: The A- form of G6PD deficiency in Africa is under strong natural selection from the preferential protection it provides to hemizygous males against life-threatening malaria. Little or no such protection is present among heterozygous females. Although these conclusions are consistent with data from at least one previous study, they have not heretofore been realized to our knowledge, and they therefore give fresh perspectives on malaria protection by G6PD deficiency as an X-linked trait.","1549-1676 Guindo, Aldiouma Fairhurst, Rick M Doumbo, Ogobara K Wellems, Thomas E Diallo, Dapa A Intramural NIH HHS/United States Journal Article Research Support, N.I.H., Intramural United States 2007/03/16 PLoS Med. 2007 Mar;4(3):e66. doi: 10.1371/journal.pmed.0040066.","10.1371/journal.pmed.0040066","Alleles;Case-Control Studies;Child;Child, Preschool;Chromosomes, Human, X/genetics;Female;Genes, X-Linked;Genetic Diseases, X-Linked/*genetics;Glucosephosphate Dehydrogenase/genetics;Glucosephosphate Dehydrogenase Deficiency/*genetics;Heterozygote;Humans;*Immunity, Innate;Malaria/*immunology;Male;Mali/epidemiology;*Selection, Genetic;Sex Factors;Malaria",NA,NA
"55","rayyan-902924727","Incontinentia Pigmenti: A Summary Review of This Rare Ectodermal Dysplasia With Neurologic Manifestations, Including Treatment Protocols",2017,NA,NA,"Journal of pediatric health care : official publication of National Association of Pediatric Nurse Associates & Practitioners","1532-656X",31,6,"e45-e52","Greene-Roethke, C.","https://www.embase.com/search/results?subaction=viewrecord&id=L622864512&from=exporthttp://dx.doi.org/10.1016/j.pedhc.2017.07.003",NA,NA,NA,"Incontinentia pigmenti is a rare neuroectodermal dysplasia caused by a defect in the IKBKG gene (formerly known as NEMO). There are 27.6 new cases per year worldwide; 65% to 75% are sporadic mutations, and 25% to 35% are familial. It is usually lethal in males, but females survive because of X-inactivation mosaicism. The disorder is typically identified by unique skin findings, a series of four stages that emerge throughout the first year of life. The central nervous system manifestations in the eye and in the brain cause the most disability. Defects of hair, nails, and teeth occur, and there can be other systemic involvement. Surveillance protocols for medical management have been established by the Incontinentia Pigmenti International Foundation. This article will summarize the existing knowledge of this condition and detail the protocols to help manage the care of the infant or child who presents with incontinentia pigmenti.","L622864512 2018-07-06","10.1016/j.pedhc.2017.07.003","I kappa B kinase;IKBKG protein, human;child;clinical protocol;genetics;human;incontinentia pigmenti;pathophysiology;point mutation;sex factor;Clinical Protocols",NA,NA
"56","rayyan-902924728","Androgen receptor gene and sex-specific Alzheimer's disease",2013,NA,NA,"Neurobiology of Aging","0197-4580 1558-1497",34,8,"e19-e20","Ferrari, R. and Dawoodi, S. and Raju, M. and Thumma, A. and Hynan, L. S. and Maasumi, S. H. and Reisch, J. S. and O'Bryant, S. and Jenkins, M. and Barber, R. and Momeni, P.","https://www.embase.com/search/results?subaction=viewrecord&id=L52516140&from=exporthttp://dx.doi.org/10.1016/j.neurobiolaging.2013.02.017",NA,NA,NA,"Women are at a 2-fold risk of developing late-onset Alzheimer's disease (AD) (onset at 65 years of age or older) compared with men. During perimenopausal years, women undergo hormonal changes that are accompanied by metabolic, cardiovascular, and inflammatory changes. These all together have been suggested as risk factors for late-onset AD. However, not all perimenopausal women develop AD; we hypothesize that certain genetic factors might underlie the increased susceptibility for developing AD in postmenopausal women. We investigated the Androgen Receptor gene (. AR) in a clinical cohort of male and female AD patients and normal control subjects by sequencing all coding exons and evaluating the length and distribution of the CAG repeat in exon 1. We could not establish a correlation between the repeat length, sex, and the disease status, nor did we identify possible pathogenic variants. AR is located on the X chromosome; to assess its role in AD, X-inactivation patterns will need to be studied to directly correlate the actual expressed repeat length to a possible sex-specific phenotypic effect. © 2013.","L52516140 2013-04-02 2013-05-27","10.1016/j.neurobiolaging.2013.02.017","androgen receptor;Alzheimer disease;androgen receptor gene;article;CAG repeat;controlled study;exon;female;gene;gene function;gene identification;gene location;genetic susceptibility;genetic variability;human;major clinical study;male;molecular pathology;priority journal;risk assessment;risk factor;sequence analysis;sex difference;X chromosome;Receptors, Androgen;Alzheimer Disease;Virilism",NA,NA
"57","rayyan-902924729","Genomic imprinting on the X chromosome: implications for brain and behavioral phenotypes",2010,NA,NA,"Epigenetics and Neuropsychiatric Diseases: Mechanisms Mediating Nature and Nurture","0077-8923 978-1-57331-775-7 J9 - ANN NY ACAD SCI",1204,NA,"E14-E19","Davies, W.","",NA,NA,NA,"Imprinted genes, in contrast to most mammalian genes, are monoallelically expressed in a parent-of-origin dependent manner. The idiosyncratic expression profile associated with imprinted genes arises from the differential epigenetic marking of the alleles in the paternal and maternal germlines. Although small in number, imprinted genes can profoundly influence key developmental and physiological processes, including those in the brain; work in animal models and in humans has shown that such genes can affect behavioral traits and cognition and may confer vulnerability to common mental illnesses. As a consequence of how the X chromosome is inherited, X-linked imprinting may elicit or indeed attenuate sexually dimorphic phenotypes. Thus, studying X-linked imprinting is likely to provide important general information about the evolutionary and mechanistic underpinnings of imprinting, as well as the molecular processes underlying sex-specific neurobiology and sex-biased vulnerability to psychiatric disorders.","Times Cited in Web of Science Core Collection: 15 Total Times Cited: 15 Cited Reference Count: 42 | RAYYAN-LABELS: Nala","10.1111/j.1749-6632.2010.05567.x","autism;epigenetic;imprinted genes;Rhox5;sexual dimorphism;Turner syndrome;39, XO mouse;X-inactivation;Xlr;TURNER-SYNDROME;GENE-EXPRESSION;CHROMATIN-STRUCTURE;COGNITIVE FUNCTION;SEX-DIFFERENCES;CLUSTER;MICE;PATTERNS;HISTONE;Phenotype;Genome;X Chromosome;Genomics;Brain",NA,NA
"58","rayyan-902924730","A robust test for X-chromosome genetic association accounting for X-chromosome inactivation and imprinting",2020,4,1,"Genet Res (Camb)","0016-6723 (Print) 0016-6723",102,NA,"e2","Zhang, Y. and Xu, S. Q. and Liu, W. and Fung, W. K. and Zhou, J. Y.","",NA,NA,NA,"The X chromosome is known to play an important role in many sex-specific diseases. However, only a few single-nucleotide polymorphisms on the X chromosome have been found to be associated with diseases. Compared to the autosomes, conducting association tests on the X chromosome is more intractable due to the difference in the number of X chromosomes between females and males. On the other hand, X-chromosome inactivation takes place in female mammals, which is a phenomenon in which the expression of one copy of two X chromosomes in females is silenced in order to achieve the same gene expression level as that in males. In addition, imprinting effects may be related to certain diseases. Currently, there are some existing approaches taking X-chromosome inactivation into account when testing for associations on the X chromosome. However, none of them allows for imprinting effects. Therefore, in this paper, we propose a robust test, ZXCII, which accounts for both X-chromosome inactivation and imprinting effects without requiring specifying the genetic models in advance. Simulation studies are conducted in order to investigate the validity and performance of ZXCII under various scenarios of different parameter values. The simulation results show that ZXCII controls the type I error rate well when there is no association. Furthermore, with regards to power, ZXCII is robust in all of the situations considered and generally outperforms most of the existing methods in the presence of imprinting effects, especially under complete imprinting effects.","1469-5073 Zhang, Yu Xu, Si-Qi Liu, Wei Fung, Wing Kam Zhou, Ji-Yuan Orcid: 0000-0003-0866-4402 Journal Article Research Support, Non-U.S. Gov't England 2020/04/03 Genet Res (Camb). 2020 Apr 1;102:e2. doi: 10.1017/S0016672320000026.","10.1017/s0016672320000026","Algorithms;Chromosomes, Human, X/*genetics;*Computer Simulation;Female;*Genetic Association Studies;Genetic Testing/*methods;*Genomic Imprinting;Humans;Male;Models, Genetic;*Polymorphism, Single Nucleotide;*X Chromosome Inactivation;X chromosome;association test;imprinting effects;inactivation;X Chromosome",NA,NA
"59","rayyan-902924731","The X chromosome and the sex ratio of autoimmunity",2012,5,NA,"Autoimmun Rev","1568-9972",11,6,"A531-537","Selmi, C. and Brunetta, E. and Raimondo, M. G. and Meroni, P. L.","",NA,NA,NA,"The number of human conditions that are currently considered to be autoimmune diseases (AID) has been steadily growing over the past decades and it is now estimated that over 10 million people are affected in the United States. One of the major shared features among AID is the predominance in the female sex which in some cases changes with the age at disease diagnosis. Numerous hypotheses have been formulated based on intuitive scientific backgrounds to justify this sex imbalance, i.e. sex hormones and reproductive factors, fetal microchimerism, other sex-related environmental factors, a skewing of the X-chromosome inactivation patterns, and major defects in sex chromosomes. Nevertheless, none of these hypotheses has thus far gathered enough convincing evidence and in most cases data are conflicting, as well illustrated by the reports on fetal microchimerism in systemic sclerosis or primary biliary cirrhosis. The present article will critically discuss the main hypotheses (loss of mosaicism, reactivation, and haploinsufficiency) that have been proposed based on findings in female patients with specific AID along with two additional mechanisms (X-chromosome vulnerability and X-linked polyamine genes) that have been observed in AID models. Further, recent data have significantly shifted the paradigm of X chromosome inactivation by demonstrating that a large number of genes can variably escape silencing on one or both chromosomes. As a result we may hypothesize that more than one mechanism may contribute to the female susceptibility to tolerance breakdown while the possibility that unknown factors may indeed protect men from AID should not be overlooked.","1873-0183 Selmi, Carlo Brunetta, Enrico Raimondo, Maria Gabriella Meroni, Pier Luigi Journal Article Review Netherlands 2011/12/14 Autoimmun Rev. 2012 May;11(6-7):A531-7. doi: 10.1016/j.autrev.2011.11.024. Epub 2011 Dec 3.","10.1016/j.autrev.2011.11.024","Autoimmune Diseases/*genetics/immunology;Autoimmunity/*genetics/immunology;Chromosomes, Human, X/*genetics/immunology;Female;*Genetic Predisposition to Disease;Humans;Male;*Sex Factors;Sex Ratio;X Chromosome Inactivation;X Chromosome;Sex Chromosomes",NA,NA
